etime,VQE Energy (Ha),HF Energy (Ha),FCI Energy (Ha),r,energy_error
0.0,-1.8440658783387864,-1.7610750541360973,-1.9151065495118065,1.0,0.07104067117302004
0.06666666666666667,-1.8607418039467138,-1.7610750541360973,-1.9151065495118065,1.0,0.05436474556509263
0.13333333333333333,-1.8820335919464746,-1.7610750541360973,-1.9151065495118065,1.0,0.033072957565331906
0.2,-1.90898699595236,-1.7610750541360973,-1.9151065495118065,1.0,0.006119553559446489
0.26666666666666666,-1.9121690405632576,-1.7610750541360973,-1.9151065495118065,1.0,0.002937508948548828
0.3333333333333333,-1.9131678057716686,-1.7610750541360973,-1.9151065495118065,1.0,0.001938743740137916
0.4,-1.9139899557673008,-1.7610750541360973,-1.9151065495118065,1.0,0.0011165937445056784
0.4666666666666667,-1.9140096973775214,-1.7610750541360973,-1.9151065495118065,1.0,0.00109685213428512
0.5333333333333333,-1.914016880418021,-1.7610750541360973,-1.9151065495118065,1.0,0.0010896690937853837
0.6,-1.9140169816503612,-1.7610750541360973,-1.9151065495118065,1.0,0.0010895678614453175
0.6666666666666666,-1.9140170037506035,-1.7610750541360973,-1.9151065495118065,1.0,0.0010895457612030146
0.7333333333333333,-1.9140170051090852,-1.7610750541360973,-1.9151065495118065,1.0,0.001089544402721243
0.8,-1.9140170051688572,-1.7610750541360973,-1.9151065495118065,1.0,0.001089544342949278
0.8666666666666667,-1.9140170051695633,-1.7610750541360973,-1.9151065495118065,1.0,0.001089544342243176
0.9333333333333333,-1.9140170051696104,-1.7610750541360973,-1.9151065495118065,1.0,0.0010895443421961026
1.0,-1.9140170051696115,-1.7610750541360973,-1.9151065495118065,1.0,0.0010895443421949924
